header 1: FORM   header filesize(d): 130285396   header 2: IFRS

index name: Pict  index number(d): 393   starts at(h): 02AB5928

index name: Pict  index number(d): 394   starts at(h): 02ACEEA8

index name: Pict  index number(d): 395   starts at(h): 02AF2D70

index name: Pict  index number(d): 396   starts at(h): 02B09800

index name: Pict  index number(d): 397   starts at(h): 02B2F724

index name: Pict  index number(d): 398   starts at(h): 02B49F28

index name: Pict  index number(d): 399   starts at(h): 02B707E2

index name: Pict  index number(d): 400   starts at(h): 02B92A90

index name: Pict  index number(d): 401   starts at(h): 02BB19FA

index name: Pict  index number(d): 402   starts at(h): 02BCEC82

index name: Pict  index number(d): 403   starts at(h): 02BF218E

index name: Pict  index number(d): 404   starts at(h): 02C1622C

index name: Pict  index number(d): 405   starts at(h): 02C301D4

index name: Pict  index number(d): 406   starts at(h): 02C49660

index name: Pict  index number(d): 407   starts at(h): 02C6820C

index name: Pict  index number(d): 408   starts at(h): 02C88BA0

index name: Pict  index number(d): 409   starts at(h): 02CAA646

index name: Pict  index number(d): 410   starts at(h): 02CCB93E

index name: Pict  index number(d): 411   starts at(h): 02CED90A

index name: Pict  index number(d): 412   starts at(h): 02D15E48

index name: Pict  index number(d): 413   starts at(h): 02D39406

index name: Pict  index number(d): 414   starts at(h): 02D5E7F6

index name: Pict  index number(d): 415   starts at(h): 02D85AA4

index name: Pict  index number(d): 416   starts at(h): 02DACD52

index name: Pict  index number(d): 417   starts at(h): 02DC6DC0

index name: Pict  index number(d): 418   starts at(h): 02DEAC22

index name: Pict  index number(d): 419   starts at(h): 02E0DAD2

index name: Pict  index number(d): 420   starts at(h): 02E2C3CE

index name: Pict  index number(d): 421   starts at(h): 02E52976

index name: Pict  index number(d): 422   starts at(h): 02E75428

index name: Pict  index number(d): 423   starts at(h): 02E92F7E

index name: Pict  index number(d): 424   starts at(h): 02EB7CF8

index name: Pict  index number(d): 425   starts at(h): 02ECB954

index name: Pict  index number(d): 426   starts at(h): 02EED202

index name: Pict  index number(d): 427   starts at(h): 02F0CCC8

index name: Pict  index number(d): 428   starts at(h): 02F2F304

index name: Pict  index number(d): 429   starts at(h): 02F53A14

index name: Pict  index number(d): 430   starts at(h): 02F6BE68

index name: Pict  index number(d): 431   starts at(h): 02F85C5A

index name: Pict  index number(d): 432   starts at(h): 02FA131A

index name: Pict  index number(d): 433   starts at(h): 02FBF3BE

index name: Pict  index number(d): 434   starts at(h): 02FCFE4E

index name: Pict  index number(d): 435   starts at(h): 02FEB818

index name: Pict  index number(d): 436   starts at(h): 03011004

index name: Pict  index number(d): 437   starts at(h): 0303455A

index name: Pict  index number(d): 438   starts at(h): 0304EF76

index name: Pict  index number(d): 439   starts at(h): 03072EF6

index name: Pict  index number(d): 440   starts at(h): 030A0F90

index name: Pict  index number(d): 441   starts at(h): 030ADFEE

index name: Pict  index number(d): 442   starts at(h): 030D6358

index name: Pict  index number(d): 443   starts at(h): 030EF3DE

index name: Pict  index number(d): 444   starts at(h): 0311EA48

index name: Pict  index number(d): 445   starts at(h): 031372FE

index name: Pict  index number(d): 446   starts at(h): 0315E99E

index name: Pict  index number(d): 447   starts at(h): 031867BA

index name: Pict  index number(d): 448   starts at(h): 031A68A6

index name: Pict  index number(d): 449   starts at(h): 031C96D6

index name: Pict  index number(d): 450   starts at(h): 031EDFBA

index name: Pict  index number(d): 451   starts at(h): 0321273E

index name: Pict  index number(d): 452   starts at(h): 03238234

index name: Pict  index number(d): 453   starts at(h): 03252E5C

index name: Pict  index number(d): 454   starts at(h): 032753F2

index name: Pict  index number(d): 455   starts at(h): 0329B99A

index name: Pict  index number(d): 456   starts at(h): 032BE44C

index name: Pict  index number(d): 457   starts at(h): 032E49FC

index name: Pict  index number(d): 458   starts at(h): 0330798A

index name: Pict  index number(d): 459   starts at(h): 0332911A

index name: Pict  index number(d): 460   starts at(h): 0334CA3C

index name: Pict  index number(d): 461   starts at(h): 03368BC2

index name: Pict  index number(d): 462   starts at(h): 0338B75E

index name: Pict  index number(d): 463   starts at(h): 0339ADE0

index name: Pict  index number(d): 464   starts at(h): 033B5158

index name: Pict  index number(d): 465   starts at(h): 033D11CC

index name: Pict  index number(d): 466   starts at(h): 033D7B1C

index name: Pict  index number(d): 467   starts at(h): 033DFDEA

